1	2	3	20	
0	4	5	21	
0	6	8	22	
0	7	9	23	
1	6	10	24	
1	7	11	25	
2	4	12	26	
3	5	13	27	
2	9	14	28	
3	8	15	29	
4	11	16	30	
5	10	17	31	
6	14	16	32	
7	15	17	33	
8	12	18	34	
9	13	18	35	
10	12	19	36	
11	13	19	37	
14	15	19	38	
16	17	18	39	
0	40	41	42	
1	40	43	44	
2	41	45	49	
3	42	46	50	
4	43	47	51	
5	44	48	52	
6	45	47	54	
7	46	48	55	
8	49	53	57	
9	50	53	58	
10	51	56	59	
11	52	56	60	
12	54	61	63	
13	55	62	64	
14	57	61	65	
15	58	62	66	
16	59	63	67	
17	60	64	68	
18	65	66	69	
19	67	68	69	
20	21	70	71	
20	22	72	76	
20	23	73	77	
21	24	74	82	
21	25	75	83	
22	26	78	89	
23	27	79	90	
24	26	80	91	
25	27	81	92	
22	28	84	94	
23	29	85	95	
24	30	86	96	
25	31	87	97	
28	29	88	106	
26	32	98	100	
27	33	99	101	
30	31	93	111	
28	34	102	112	
29	35	103	113	
30	36	104	114	
31	37	105	115	
32	34	107	118	
33	35	108	119	
32	36	109	120	
33	37	110	121	
34	38	116	124	
35	38	117	125	
36	39	122	126	
37	39	123	127	
38	39	128	129	
40	72	74	130	
40	73	75	131	
41	70	78	132	
42	71	79	133	
43	70	80	134	
44	71	81	135	
41	77	84	136	
42	76	85	137	
45	72	80	140	
46	73	81	141	
47	74	78	142	
48	75	79	143	
43	83	86	138	
44	82	87	139	
49	76	88	144	
50	77	88	145	
51	82	93	150	
52	83	93	151	
53	84	85	156	
45	94	98	146	
46	95	99	147	
47	96	100	148	
48	97	101	149	
56	86	87	157	
49	89	102	152	
50	90	103	153	
51	91	104	154	
52	92	105	155	
54	89	107	158	
55	90	108	159	
54	91	109	160	
55	92	110	161	
57	94	107	164	
58	95	108	165	
59	96	109	166	
60	97	110	167	
53	112	113	162	
61	98	102	170	
62	99	103	171	
63	100	104	172	
64	101	105	173	
56	114	115	163	
57	106	116	168	
58	106	117	169	
59	111	122	174	
60	111	123	175	
65	112	117	180	
66	113	116	181	
61	120	124	176	
62	121	125	177	
63	118	126	178	
64	119	127	179	
67	114	123	182	
68	115	122	183	
65	118	128	184	
66	119	129	185	
67	120	128	186	
68	121	129	187	
69	124	126	188	
69	125	127	189	
70	131	190	192	
71	130	191	193	
72	136	190	196	
73	137	191	197	
74	138	192	198	
75	139	193	199	
76	132	194	200	
77	133	194	201	
82	134	195	204	
83	135	195	205	
78	146	196	202	
79	147	197	203	
80	148	198	202	
81	149	199	203	
84	152	200	210	
85	153	201	211	
89	140	206	212	
90	141	207	213	
91	142	208	214	
92	143	209	215	
86	154	204	216	
87	155	205	217	
94	144	206	218	
95	145	207	219	
96	150	208	220	
97	151	209	221	
88	162	210	211	
93	163	216	217	
98	160	212	224	
99	161	213	225	
100	158	214	226	
101	159	215	227	
106	156	222	223	
111	157	228	229	
102	168	218	230	
103	169	219	231	
104	174	220	232	
105	175	221	233	
112	164	222	234	
113	165	223	235	
107	176	224	230	
108	177	225	231	
109	178	226	232	
110	179	227	233	
114	166	228	238	
115	167	229	239	
118	170	236	240	
119	171	237	241	
120	172	236	242	
121	173	237	243	
116	184	234	244	
117	185	235	244	
122	186	238	245	
123	187	239	245	
124	180	240	246	
125	181	241	247	
126	182	242	248	
127	183	243	249	
128	189	246	248	
129	188	247	249	
130	132	250	270	
131	133	250	271	
130	134	251	272	
131	135	251	273	
136	137	250	278	
138	139	251	281	
132	140	252	274	
133	141	253	275	
134	142	254	276	
135	143	255	277	
136	144	252	282	
137	145	253	283	
140	142	256	279	
141	143	257	280	
138	150	254	284	
139	151	255	285	
146	152	252	290	
147	153	253	291	
148	154	254	292	
149	155	255	293	
144	156	258	286	
145	156	259	287	
146	158	256	294	
147	159	257	295	
